LTV1_HUMAN	LTV1
MAK16_HUMAN	MAK16
UBTD1_HUMAN	UBTD1
SIT1_HUMAN	SIT1
NDUB1_HUMAN	NDUFB1
TRM1L_HUMAN	TRMT1L
KI20A_HUMAN	KIF20A
LIRB5_HUMAN	LILRB5
HSF1_HUMAN	HSF1
VWA2_HUMAN	VWA2
TRI33_HUMAN	TRIM33
CCM2_HUMAN	CCM2
TAF11_HUMAN	TAF11
DCTN6_HUMAN	DCTN6
TCO2_HUMAN	TCN2
CECR2_HUMAN	CECR2
IL4RA_HUMAN	IL4R
ADAM8_HUMAN	ADAM8
AOFA_HUMAN	MAOA
AT8B1_HUMAN	ATP8B1
BACD1_HUMAN	KCTD13
ZWINT_HUMAN	ZWINT
SELK_HUMAN	SELENOK
ACADM_HUMAN	ACADM
CP8B1_HUMAN	CYP8B1
DAPP1_HUMAN	DAPP1
CCL20_HUMAN	CCL20
OXER1_HUMAN	OXER1
DDX53_HUMAN	DDX53
OR8A1_HUMAN	OR8A1
SMAD2_HUMAN	SMAD2
TSNAX_HUMAN	TSNAX
SO1A2_HUMAN	SLCO1A2
EPC1_HUMAN	EPC1
SPB5_HUMAN	SERPINB5
REC8_HUMAN	REC8
FOXE1_HUMAN	FOXE1
PDIA1_HUMAN	P4HB
EPHB4_HUMAN	EPHB4
PLCC_HUMAN	AGPAT3
KPCD_HUMAN	PRKCD
FBX25_HUMAN	FBXO25
PAF15_HUMAN	PCLAF
E41L3_HUMAN	EPB41L3
BCL3_HUMAN	BCL3
SP5_HUMAN	SP5
K0087_HUMAN	KIAA0087
HS3S1_HUMAN	HS3ST1
ELFN1_HUMAN	ELFN1
GGCT_HUMAN	GGCT
T22D3_HUMAN	TSC22D3
MD13L_HUMAN	MED13L
PIAS1_HUMAN	PIAS1
PLOD2_HUMAN	PLOD2
ABRA_HUMAN	ABRA
GRIA3_HUMAN	GRIA3
FGD4_HUMAN	FGD4
PROK2_HUMAN	PROK2
NAB1_HUMAN	NAB1
SNX33_HUMAN	SNX33
TRAT1_HUMAN	TRAT1
TEX12_HUMAN	TEX12
NR2E1_HUMAN	NR2E1
PIWL3_HUMAN	PIWIL3
O2AK2_HUMAN	OR2AK2
MD2BP_HUMAN	MAD2L1BP
CHSS3_HUMAN	CHSY3
JKAMP_HUMAN	JKAMP
ERCC6_HUMAN	ERCC6
CABIN_HUMAN	CABIN1
KCD17_HUMAN	KCTD17
SETD3_HUMAN	SETD3
RPR1B_HUMAN	RPRD1B
